epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,73637.7,0.57503,0.29138,1.13968,0.97481,0.97855,0.99263,0.87786,0.57594,0.27481,1.08309,0.0087922,0.0087922,0.0087922
124,74257.9,0.57964,0.28917,1.14142,0.97483,0.97901,0.9927,0.87814,0.57296,0.27416,1.08038,0.0087823,0.0087823,0.0087823
125,74886.4,0.57693,0.29157,1.14438,0.9757,0.98004,0.99274,0.87744,0.57292,0.27459,1.08104,0.0087724,0.0087724,0.0087724
126,75536,0.57743,0.28685,1.1331,0.98236,0.97937,0.99301,0.87745,0.57301,0.27312,1.08053,0.0087625,0.0087625,0.0087625
127,76193.8,0.57341,0.28991,1.13648,0.98061,0.97871,0.99287,0.87804,0.57086,0.27282,1.07889,0.0087526,0.0087526,0.0087526
128,76870.2,0.58131,0.28605,1.14283,0.97748,0.98205,0.99267,0.87906,0.57111,0.27155,1.07827,0.0087427,0.0087427,0.0087427
129,77537.7,0.57478,0.29,1.13692,0.97926,0.98204,0.993,0.87874,0.57035,0.27076,1.07802,0.0087328,0.0087328,0.0087328
130,78223.9,0.56398,0.28663,1.12991,0.97842,0.98204,0.99293,0.87882,0.57048,0.27096,1.07744,0.0087229,0.0087229,0.0087229
131,78902.9,0.5659,0.28707,1.13207,0.97785,0.98137,0.99282,0.87934,0.57015,0.27115,1.07784,0.008713,0.008713,0.008713
132,79585.9,0.57175,0.28403,1.13329,0.9766,0.98071,0.99242,0.8799,0.56906,0.27039,1.07725,0.0087031,0.0087031,0.0087031
133,80284.3,0.57406,0.28932,1.13471,0.97918,0.98137,0.99281,0.88016,0.56895,0.27033,1.07751,0.0086932,0.0086932,0.0086932
134,80972.9,0.56507,0.28707,1.13024,0.97841,0.98137,0.99272,0.88023,0.56914,0.26989,1.07738,0.0086833,0.0086833,0.0086833
135,81658.6,0.57218,0.28577,1.12892,0.97808,0.9827,0.9928,0.88007,0.56865,0.26847,1.07697,0.0086734,0.0086734,0.0086734
136,82352.3,0.56439,0.2849,1.13421,0.97785,0.9827,0.99291,0.87991,0.56713,0.26828,1.07609,0.0086635,0.0086635,0.0086635
137,83052.3,0.56631,0.28383,1.13222,0.98005,0.98038,0.99298,0.88115,0.56685,0.26808,1.07639,0.0086536,0.0086536,0.0086536
138,83748.8,0.5673,0.28983,1.1284,0.9788,0.98295,0.99319,0.88194,0.56654,0.26769,1.07593,0.0086437,0.0086437,0.0086437
139,84442.3,0.56106,0.28239,1.12154,0.97817,0.98389,0.99296,0.88141,0.56594,0.2666,1.07475,0.0086338,0.0086338,0.0086338
140,85136.7,0.57111,0.28376,1.13669,0.97893,0.98137,0.99292,0.88256,0.56354,0.26503,1.07416,0.0086239,0.0086239,0.0086239
141,85845.6,0.56553,0.28679,1.12535,0.98008,0.98192,0.99297,0.88346,0.56239,0.26438,1.07367,0.008614,0.008614,0.008614
142,86554.9,0.57074,0.28503,1.13333,0.97649,0.9847,0.99304,0.88381,0.5617,0.26404,1.07399,0.0086041,0.0086041,0.0086041
143,87226.1,0.56266,0.2842,1.12676,0.97874,0.9847,0.99312,0.88472,0.56284,0.26421,1.07516,0.0085942,0.0085942,0.0085942
